,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,Californie
5,Caroline_du_Nord
6,Caroline_du_Sud
7,Colorado
8,Connecticut
9,Dakota_du_Nord
10,Dakota_du_Sud
11,Delaware
12,District_de_Columbia
13,Floride
14,Georgie
15,Hawai
16,Idaho
17,Illinois
18,Indiana
19,Iowa
20,Kansas
21,Kentucky
22,Louisiane
23,Maine
24,Maryland
25,Massachusetts
26,Michigan
27,Minnesota
28,Mississippi
29,Missouri
30,Montana
31,Nebraska
32,Nevada
33,New_Hampshire
34,New_Jersey
35,New_York
36,Nouveau_Mexique
37,Ohio
38,Oklahoma
39,Oregon
40,Pennsylvanie
41,Rhode_Island
42,Tennessee
43,Texas
44,Utah
45,Vermont
46,Virginie
47,Virginie_Occidentale
48,Washington
49,Wisconsin
50,Wyoming
